,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
306,tura,25.5198,90.2201,296.38,94,99,2.97,IN,1624157440
307,marystown,47.1666,-55.1483,284.0,72,100,3.0,CA,1624157440
308,port blair,11.6667,92.75,303.17,84,40,3.09,IN,1624157153
309,touba,8.2833,-7.6833,293.69,98,75,1.88,CI,1624157441
310,akyab,20.15,92.9,298.83,88,100,1.43,MM,1624157442
311,toora-khem,52.4675,96.11,297.25,39,75,1.41,RU,1624157442
312,lagoa,39.05,-27.9833,292.07,92,91,5.72,PT,1624157443
313,vostok,46.4856,135.8833,292.03,34,97,5.8,RU,1624157443
314,sokoni,-6.4333,39.55,298.07,73,32,7.98,TZ,1624157444
315,todos santos,23.45,-110.2167,306.65,82,29,2.83,MX,1624157444
316,kushima,31.4583,131.2333,301.88,58,100,1.95,JP,1624157227
317,vuktyl,63.8567,57.3094,280.15,57,59,8.55,RU,1624157445
318,gat,31.61,34.7642,293.53,78,0,1.58,IL,1624157217
319,mezen,65.8522,44.24,284.07,64,55,2.36,RU,1624157447
320,sangar,63.9242,127.4739,300.82,27,71,0.89,RU,1624157447
321,pacific grove,36.6177,-121.9166,299.98,86,75,1.34,US,1624157448
322,iqaluit,63.7506,-68.5145,275.0,80,20,0.0,CA,1624157448
323,emerald,-23.5333,148.1667,292.78,39,2,5.14,AU,1624157449
324,port macquarie,-31.4333,152.9167,291.42,73,84,7.28,AU,1624157449
325,gurupa,-1.405,-51.64,295.54,98,99,1.45,BR,1624157450
326,verkhnyaya toyma,62.2349,44.9985,289.0,49,15,0.9,RU,1624157450
327,yanam,16.7333,82.2167,303.37,54,95,4.71,IN,1624157450
328,codrington,-38.2667,141.9667,286.0,66,75,1.95,AU,1624157451
329,tommot,58.9564,126.2925,298.78,60,93,1.96,RU,1624157451
330,navoi,40.0844,65.3792,294.86,21,0,5.14,UZ,1624157341
331,medea,36.2642,2.7539,288.4,59,100,1.3,DZ,1624157452
332,batagay,67.6333,134.6333,302.66,22,100,2.25,RU,1624157453
333,beruwala,6.4788,79.9828,301.44,75,63,4.63,LK,1624157453
334,grand haven,43.0631,-86.2284,294.51,82,20,2.57,US,1624157454
335,dingle,10.9995,122.6711,304.08,65,100,5.12,PH,1624157454
336,badvel,14.75,79.05,303.39,53,100,8.47,IN,1624157346
337,sur,22.5667,59.5289,305.45,45,100,2.52,OM,1624157455
338,manokwari,-0.8667,134.0833,301.09,70,33,2.09,ID,1624157187
339,methoni,36.8197,21.7049,296.05,79,0,5.43,GR,1624157456
340,bac lieu,9.285,105.7244,304.86,58,72,5.44,VN,1624157456
341,durres,41.3231,19.4414,292.25,76,7,1.31,AL,1624157350
342,plettenberg bay,-34.0527,23.3716,291.02,41,17,3.38,ZA,1624157457
343,tual,-5.6667,132.75,300.35,79,77,7.69,ID,1624157457
344,guerrero negro,27.9769,-114.0611,290.85,87,0,8.0,MX,1624157458
345,mamou,10.5,-12.0,293.41,92,100,0.59,GN,1624157448
346,lashio,22.9333,97.75,295.01,92,100,1.29,MM,1624157459
347,dauphin,51.1494,-100.0502,291.23,68,75,6.69,CA,1624157459
348,berberati,4.2612,15.7922,293.05,96,71,0.74,CF,1624157460
349,nador,35.174,-2.9287,292.29,72,0,4.12,MA,1624157276
350,hasaki,35.7333,140.8333,298.31,93,100,8.72,JP,1624157460
351,beloha,-25.1667,45.05,291.86,77,99,7.05,MG,1624157461
352,keti bandar,24.1447,67.4497,302.79,67,100,8.32,PK,1624157461
353,kuntaur,13.6667,-14.8833,300.56,49,69,4.14,GM,1624157462
354,montlucon,46.3333,2.6,289.65,92,100,2.93,FR,1624157363
355,kpandae,8.4689,-0.0113,296.44,95,73,2.58,GH,1624157463
356,manga,11.6636,-1.0731,300.97,56,100,2.69,BF,1624157463
357,okhotsk,59.3833,143.3,286.08,67,99,8.08,RU,1624157464
358,clonakilty,51.6231,-8.8706,286.71,94,73,5.23,IE,1624157464
359,newport,51.5877,-2.9984,287.29,92,92,4.68,GB,1624157311
360,piacabucu,-10.4056,-36.4344,297.99,74,82,4.3,BR,1624157465
361,buraydah,26.326,43.975,297.4,12,0,0.4,SA,1624157465
